Dealer Name,OEM Brand,City,State/Province,Street Address,Phone Number,Website,Branches in Territory,Source URL
Empire Cat (HQ),Caterpillar,Mesa,AZ,"1725 S Country Club Dr, Mesa, AZ 85210",(480) 633-4000,https://www.empire-cat.com,30,https://www.empire-cat.com/locations
Wheeler Machinery (HQ),Caterpillar,Salt Lake City,UT,"4901 W 2100 South, Salt Lake City, UT 84101",(801) 974-0511,https://wheelercat.com,11,https://wheelercat.com/about/locations/
Wheeler Machinery - Ogden,Caterpillar,Ogden,UT,"2366 South 1900 West, Ogden, UT 84401",(801) 732-9100,https://wheelercat.com,11,https://wheelercat.com/about/locations/
Hawthorne Cat - Waipahu,Caterpillar,Waipahu,HI,"94-025 Farrington Highway, Waipahu, HI 96797",(808) 677-9111,https://www.hawthornecat.com,4,https://www.hawthornecat.com/contact/hawaii-waipahu/
PacWest Machinery (HQ),Volvo CE,Kent,WA,"8207 South 216th Street, Kent, WA 98032",(206) 762-5933,https://www.pacwestmachinery.com,6,https://www.pacwestmachinery.com/locations/
PacWest Machinery - Spokane,Volvo CE,Spokane Valley,WA,"Spokane Valley, WA 99216",(509) 534-5933,https://www.pacwestmachinery.com,6,https://www.pacwestmachinery.com/locations/
PacWest Machinery - Portland,Volvo CE,Portland,OR,"Portland, OR 97230",(503) 252-5933,https://www.pacwestmachinery.com,6,https://www.pacwestmachinery.com/locations/
Ascendum Machinery (HQ),Volvo CE,Charlotte,NC,"11425 Reames Rd, Charlotte, NC 28269",(704) 596-8283,https://www.ascendummachinery.com,15,https://www.ascendummachinery.com/ascendum/contact-locations/
Ascendum Machinery - Columbia,Volvo CE,Cayce,SC,"2303 Airport Blvd, Cayce, SC 29033",(803) 791-0740,https://www.ascendummachinery.com,15,https://www.ascendummachinery.com/ascendum/contact-locations/
Ascendum Machinery - Piedmont,Volvo CE,Piedmont,SC,"407 Oak Road, Piedmont, SC 29673",(864) 704-1060,https://www.ascendummachinery.com,15,https://www.ascendummachinery.com/ascendum/contact-locations/
ROMCO Equipment (HQ),Volvo CE,Carrollton,TX,"1519 West Belt Line Road, Carrollton, TX 75006",(214) 819-4100,https://www.romco.com,17,https://www.romco.com/branch-locator/
Alta Equipment - Byron Center,Volvo CE,Byron Center,MI,"8840 Byron Commerce Drive SW, Byron Center, MI 49315",(616) 878-7450,https://altg.com,20,https://altg.com/locations/
Hoffman Equipment - Piscataway,Volvo CE,Piscataway,NJ,"300 South Randolphville Road, Piscataway, NJ 08854",(866) 561-9913,https://hoffmanequip.com,5,https://hoffmanequip.com/locations/
Hoffman Equipment - Deptford,Volvo CE,Deptford,NJ,"1330 Hurfville Road, Deptford, NJ 08096",(856) 227-6400,https://hoffmanequip.com,5,https://hoffmanequip.com/locations/
Tyler Equipment (HQ),Volvo CE,East Longmeadow,MA,"251 Shaker Road, East Longmeadow, MA 01028",(413) 525-6351,https://www.tylerequipment.com,3,https://www.tylerequipment.com/dealer-info/locations/
Tyler Equipment - Berlin,Volvo CE,Berlin,CT,"1980 Berlin Turnpike, Berlin, CT 06037",(860) 356-0840,https://www.tylerequipment.com,3,https://www.tylerequipment.com/dealer-info/locations/
Arnold Machinery,Volvo CE,Salt Lake City,UT,"2975 West 2100 South, Salt Lake City, UT 84119",(801) 972-4000,https://arnoldmachinery.com,8,https://arnoldmachinery.com/volvoce/
Nors Construction Equipment (Canada),Volvo CE,Mississauga,ON,"1640 Enterprise Rd, Mississauga, ON L4W 4L4",N/A,https://construction-equipment-st.nors.com,22,https://www.volvoce.com/united-states/en-us/contact-us/dealer-locator/
Nors Construction Equipment (Canada - Calgary),Volvo CE,Calgary,AB,"Calgary, AB",N/A,https://construction-equipment-gw.nors.com,22,https://construction-equipment-gw.nors.com/locations/heavy-equipment-dealer-calgary/
